year,X0,Coordinates0,Latitude0,Longitude0,freq
1990,"'Ust Kamenogorsk',USSR",Ust'-Kamenogorsk,49.95423,82.62633,1
1990,"'Valencia',Venezuela",Venezuela,10.25236,-68.01157,1
1990,"'Vaulx',France","Vaulx, Haute-Savoie, Auvergne-Rhône-Alpes",45.92943,5.99447,1
1990,"'Vendee',France","France, Mouzeuil-Saint-Martin, Vendée, Pays de la Loire",46.46642,-0.95087,2
1990,"'Vilnius',Lithuania","Vilnius, Vilniaus Miesto savivaldybė, Vilniaus Apskritis",54.69062,25.2698,1
1990,"'Vilnius',USSR",Vilnius,53.81728,-1.51652,3
1990,"'Walsall',United Kingdom","Walsall, West Midlands, England",52.58623665,-1.980335616,1
1990,"'Warsaw',Poland",Polska,52.20352,21.02239,2
1990,"'Warsaw',USSR",Warsaw,44.43342,-78.13282,1
1990,"'West Berlin',Germany West","West, Stuttgart, Baden-Württemberg",48.76766,9.11534,1
1990,"'West Beruit',Lebanon","'Beruit',Lebanon",33.8959203,35.47843,1
1990,"'Windhoek',Namibia","Namibia, Khomas",-22.57159,17.09074,1
1990,"'Wood Green',United Kingdom","Wood Green, Sandwell, West Midlands, England",52.56309784,-2.010690735,1
1990,"'Yerevan',Armenia","Yerevan, Erivan",40.1786,44.51287,1
1990,"'Zagreb',Yugoslavia","Yugoeslavia, Anzoátegui",8.19583,-64.5038,1
1990,"Budapest,Hungary","Budapest,Hungary",47.4979937,19.0403594,1
1991,,,NA,NA,131
1991,"'Abdullah Salem',Kuwait","Abdullah Al-Salem Street, Salhiya-Block 2, Kuwait, Kuwait City",29.36691539,47.97411007,1
1991,"'Abidjan',Ivory Coast",Abidjan,5.3269,-4.02173,8
1991,"'Accra',Ghana","Accra, Greater Accra",5.57888,-0.23261,1
1991,"'Adamaway',Cameroon",Adamawa,6.846801325,13.1331591,1
1991,"'Addis Ababa',Ethiopia",Ethiopia,9.03194,38.75351,1
1991,"'Albania',Albania","Albania, Morrorico, Bucaramanga, Santander",7.1311,-73.1061,1
1991,"'Alexandra',South Africa","Alexandra, Johannesburg, Gauteng",-26.10538,28.09861,1
